site_id,latitude_deg,longitude_deg,altitude_m,candidate_source,downsample_method
grid-00000,-56.0,-80.0,0.0,rough_land_grid_proxy,farthest
grid-00001,56.0,100.0,0.0,rough_land_grid_proxy,farthest
grid-00002,-4.0,16.0,0.0,rough_land_grid_proxy,farthest
grid-00003,-24.0,148.0,0.0,rough_land_grid_proxy,farthest
grid-00004,24.0,-128.0,0.0,rough_land_grid_proxy,farthest
grid-00005,16.0,-52.0,0.0,rough_land_grid_proxy,farthest
grid-00006,28.0,168.0,0.0,rough_land_grid_proxy,farthest
grid-00007,68.0,-76.0,0.0,rough_land_grid_proxy,farthest
grid-00008,8.0,68.0,0.0,rough_land_grid_proxy,farthest
grid-00009,44.0,20.0,0.0,rough_land_grid_proxy,farthest
grid-00010,12.0,116.0,0.0,rough_land_grid_proxy,farthest
grid-00011,-24.0,-36.0,0.0,rough_land_grid_proxy,farthest
grid-00012,-32.0,52.0,0.0,rough_land_grid_proxy,farthest
grid-00013,-16.0,-80.0,0.0,rough_land_grid_proxy,farthest
grid-00014,64.0,180.0,0.0,rough_land_grid_proxy,farthest
grid-00015,32.0,-88.0,0.0,rough_land_grid_proxy,farthest
grid-00016,20.0,-12.0,0.0,rough_land_grid_proxy,farthest
grid-00017,-44.0,112.0,0.0,rough_land_grid_proxy,farthest
grid-00018,-32.0,0.0,0.0,rough_land_grid_proxy,farthest
grid-00019,16.0,-160.0,0.0,rough_land_grid_proxy,farthest
grid-00020,40.0,60.0,0.0,rough_land_grid_proxy,farthest
grid-00021,72.0,36.0,0.0,rough_land_grid_proxy,farthest
grid-00022,16.0,40.0,0.0,rough_land_grid_proxy,farthest
grid-00023,40.0,136.0,0.0,rough_land_grid_proxy,farthest
grid-00024,52.0,-128.0,0.0,rough_land_grid_proxy,farthest
grid-00025,-16.0,116.0,0.0,rough_land_grid_proxy,farthest
grid-00026,8.0,144.0,0.0,rough_land_grid_proxy,farthest
grid-00027,28.0,92.0,0.0,rough_land_grid_proxy,farthest
grid-00028,44.0,-52.0,0.0,rough_land_grid_proxy,farthest
grid-00029,-8.0,-12.0,0.0,rough_land_grid_proxy,farthest
grid-00030,-52.0,-36.0,0.0,rough_land_grid_proxy,farthest
grid-00031,-8.0,44.0,0.0,rough_land_grid_proxy,farthest
grid-00032,-8.0,-56.0,0.0,rough_land_grid_proxy,farthest
grid-00033,8.0,-76.0,0.0,rough_land_grid_proxy,farthest
grid-00034,40.0,-164.0,0.0,rough_land_grid_proxy,farthest
grid-00035,56.0,-12.0,0.0,rough_land_grid_proxy,farthest
grid-00036,-36.0,-60.0,0.0,rough_land_grid_proxy,farthest
grid-00037,20.0,16.0,0.0,rough_land_grid_proxy,farthest
grid-00038,-24.0,28.0,0.0,rough_land_grid_proxy,farthest
grid-00039,16.0,-104.0,0.0,rough_land_grid_proxy,farthest
grid-00040,0.0,-36.0,0.0,rough_land_grid_proxy,farthest
grid-00041,8.0,176.0,0.0,rough_land_grid_proxy,farthest
grid-00042,76.0,124.0,0.0,rough_land_grid_proxy,farthest
grid-00043,-44.0,152.0,0.0,rough_land_grid_proxy,farthest
grid-00044,8.0,96.0,0.0,rough_land_grid_proxy,farthest
grid-00045,48.0,160.0,0.0,rough_land_grid_proxy,farthest
grid-00046,72.0,-132.0,0.0,rough_land_grid_proxy,farthest
grid-00047,36.0,112.0,0.0,rough_land_grid_proxy,farthest
grid-00048,52.0,-96.0,0.0,rough_land_grid_proxy,farthest
grid-00049,36.0,-112.0,0.0,rough_land_grid_proxy,farthest
grid-00050,28.0,-68.0,0.0,rough_land_grid_proxy,farthest
grid-00051,36.0,-4.0,0.0,rough_land_grid_proxy,farthest
grid-00052,-32.0,128.0,0.0,rough_land_grid_proxy,farthest
grid-00053,60.0,68.0,0.0,rough_land_grid_proxy,farthest
grid-00054,4.0,0.0,0.0,rough_land_grid_proxy,farthest
grid-00055,20.0,132.0,0.0,rough_land_grid_proxy,farthest
grid-00056,60.0,140.0,0.0,rough_land_grid_proxy,farthest
grid-00057,-12.0,136.0,0.0,rough_land_grid_proxy,farthest
grid-00058,24.0,72.0,0.0,rough_land_grid_proxy,farthest
grid-00059,-16.0,4.0,0.0,rough_land_grid_proxy,farthest
grid-00060,32.0,36.0,0.0,rough_land_grid_proxy,farthest
grid-00061,28.0,-148.0,0.0,rough_land_grid_proxy,farthest
grid-00062,12.0,160.0,0.0,rough_land_grid_proxy,farthest
grid-00063,-24.0,-16.0,0.0,rough_land_grid_proxy,farthest
grid-00064,-36.0,-80.0,0.0,rough_land_grid_proxy,farthest
grid-00065,56.0,36.0,0.0,rough_land_grid_proxy,farthest
grid-00066,44.0,84.0,0.0,rough_land_grid_proxy,farthest
grid-00067,28.0,148.0,0.0,rough_land_grid_proxy,farthest
grid-00068,20.0,56.0,0.0,rough_land_grid_proxy,farthest
grid-00069,44.0,-76.0,0.0,rough_land_grid_proxy,farthest
grid-00070,56.0,-152.0,0.0,rough_land_grid_proxy,farthest
grid-00071,72.0,-12.0,0.0,rough_land_grid_proxy,farthest
grid-00072,4.0,28.0,0.0,rough_land_grid_proxy,farthest
grid-00073,4.0,52.0,0.0,rough_land_grid_proxy,farthest
grid-00074,-20.0,-64.0,0.0,rough_land_grid_proxy,farthest
grid-00075,16.0,-88.0,0.0,rough_land_grid_proxy,farthest
grid-00076,16.0,84.0,0.0,rough_land_grid_proxy,farthest
grid-00077,16.0,-140.0,0.0,rough_land_grid_proxy,farthest
grid-00078,40.0,-140.0,0.0,rough_land_grid_proxy,farthest
grid-00079,40.0,176.0,0.0,rough_land_grid_proxy,farthest
grid-00080,20.0,104.0,0.0,rough_land_grid_proxy,farthest
grid-00081,48.0,120.0,0.0,rough_land_grid_proxy,farthest
grid-00082,-32.0,16.0,0.0,rough_land_grid_proxy,farthest
grid-00083,60.0,12.0,0.0,rough_land_grid_proxy,farthest
grid-00084,-40.0,-44.0,0.0,rough_land_grid_proxy,farthest
grid-00085,56.0,-64.0,0.0,rough_land_grid_proxy,farthest
grid-00086,-4.0,-72.0,0.0,rough_land_grid_proxy,farthest
grid-00087,4.0,-16.0,0.0,rough_land_grid_proxy,farthest
grid-00088,4.0,-60.0,0.0,rough_land_grid_proxy,farthest
grid-00089,20.0,180.0,0.0,rough_land_grid_proxy,farthest
grid-00090,-12.0,152.0,0.0,rough_land_grid_proxy,farthest
grid-00091,-12.0,-40.0,0.0,rough_land_grid_proxy,farthest
grid-00092,8.0,12.0,0.0,rough_land_grid_proxy,farthest
grid-00093,-28.0,112.0,0.0,rough_land_grid_proxy,farthest
grid-00094,32.0,12.0,0.0,rough_land_grid_proxy,farthest
grid-00095,-20.0,48.0,0.0,rough_land_grid_proxy,farthest
grid-00096,44.0,44.0,0.0,rough_land_grid_proxy,farthest
grid-00097,-12.0,32.0,0.0,rough_land_grid_proxy,farthest
grid-00098,8.0,128.0,0.0,rough_land_grid_proxy,farthest
grid-00099,68.0,92.0,0.0,rough_land_grid_proxy,farthest
grid-00100,28.0,-168.0,0.0,rough_land_grid_proxy,farthest
grid-00101,-44.0,132.0,0.0,rough_land_grid_proxy,farthest
grid-00102,-56.0,-56.0,0.0,rough_land_grid_proxy,farthest
grid-00103,12.0,-40.0,0.0,rough_land_grid_proxy,farthest
grid-00104,76.0,176.0,0.0,rough_land_grid_proxy,farthest
grid-00105,28.0,-52.0,0.0,rough_land_grid_proxy,farthest
grid-00106,16.0,0.0,0.0,rough_land_grid_proxy,farthest
grid-00107,52.0,180.0,0.0,rough_land_grid_proxy,farthest
grid-00108,4.0,40.0,0.0,rough_land_grid_proxy,farthest
grid-00109,64.0,-104.0,0.0,rough_land_grid_proxy,farthest
grid-00110,24.0,120.0,0.0,rough_land_grid_proxy,farthest
grid-00111,-20.0,16.0,0.0,rough_land_grid_proxy,farthest
grid-00112,-24.0,-52.0,0.0,rough_land_grid_proxy,farthest
grid-00113,20.0,-116.0,0.0,rough_land_grid_proxy,farthest
grid-00114,48.0,4.0,0.0,rough_land_grid_proxy,farthest
grid-00115,16.0,-64.0,0.0,rough_land_grid_proxy,farthest
grid-00116,16.0,28.0,0.0,rough_land_grid_proxy,farthest
grid-00117,44.0,100.0,0.0,rough_land_grid_proxy,farthest
grid-00118,0.0,-48.0,0.0,rough_land_grid_proxy,farthest
grid-00119,28.0,-100.0,0.0,rough_land_grid_proxy,farthest
grid-00120,-20.0,128.0,0.0,rough_land_grid_proxy,farthest
grid-00121,48.0,-112.0,0.0,rough_land_grid_proxy,farthest
grid-00122,-48.0,-68.0,0.0,rough_land_grid_proxy,farthest
grid-00123,28.0,48.0,0.0,rough_land_grid_proxy,farthest
grid-00124,28.0,24.0,0.0,rough_land_grid_proxy,farthest
grid-00125,-28.0,40.0,0.0,rough_land_grid_proxy,farthest
grid-00126,20.0,-76.0,0.0,rough_land_grid_proxy,farthest
grid-00127,32.0,-16.0,0.0,rough_land_grid_proxy,farthest
grid-00128,32.0,80.0,0.0,rough_land_grid_proxy,farthest
grid-00129,36.0,160.0,0.0,rough_land_grid_proxy,farthest
grid-00130,-28.0,-72.0,0.0,rough_land_grid_proxy,farthest
grid-00131,64.0,116.0,0.0,rough_land_grid_proxy,farthest
grid-00132,52.0,56.0,0.0,rough_land_grid_proxy,farthest
grid-00133,40.0,-96.0,0.0,rough_land_grid_proxy,farthest
grid-00134,32.0,128.0,0.0,rough_land_grid_proxy,farthest
grid-00135,36.0,-128.0,0.0,rough_land_grid_proxy,farthest
grid-00136,-32.0,140.0,0.0,rough_land_grid_proxy,farthest
grid-00137,44.0,-12.0,0.0,rough_land_grid_proxy,farthest
grid-00138,36.0,-60.0,0.0,rough_land_grid_proxy,farthest
grid-00139,76.0,72.0,0.0,rough_land_grid_proxy,farthest
grid-00140,68.0,156.0,0.0,rough_land_grid_proxy,farthest
grid-00141,64.0,-52.0,0.0,rough_land_grid_proxy,farthest
grid-00142,48.0,144.0,0.0,rough_land_grid_proxy,farthest
grid-00143,44.0,-152.0,0.0,rough_land_grid_proxy,farthest
grid-00144,48.0,72.0,0.0,rough_land_grid_proxy,farthest
grid-00145,60.0,-136.0,0.0,rough_land_grid_proxy,farthest
grid-00146,64.0,48.0,0.0,rough_land_grid_proxy,farthest
grid-00147,68.0,-156.0,0.0,rough_land_grid_proxy,farthest
grid-00148,-4.0,4.0,0.0,rough_land_grid_proxy,farthest
grid-00149,0.0,-8.0,0.0,rough_land_grid_proxy,farthest
grid-00150,0.0,-80.0,0.0,rough_land_grid_proxy,farthest
grid-00151,56.0,84.0,0.0,rough_land_grid_proxy,farthest
grid-00152,56.0,-80.0,0.0,rough_land_grid_proxy,farthest
grid-00153,16.0,148.0,0.0,rough_land_grid_proxy,farthest
grid-00154,8.0,80.0,0.0,rough_land_grid_proxy,farthest
grid-00155,-16.0,-8.0,0.0,rough_land_grid_proxy,farthest
grid-00156,-4.0,36.0,0.0,rough_land_grid_proxy,farthest
grid-00157,-12.0,-68.0,0.0,rough_land_grid_proxy,farthest
grid-00158,-12.0,20.0,0.0,rough_land_grid_proxy,farthest
grid-00159,24.0,4.0,0.0,rough_land_grid_proxy,farthest
grid-00160,8.0,108.0,0.0,rough_land_grid_proxy,farthest
grid-00161,12.0,60.0,0.0,rough_land_grid_proxy,farthest
grid-00162,-12.0,52.0,0.0,rough_land_grid_proxy,farthest
grid-00163,12.0,136.0,0.0,rough_land_grid_proxy,farthest
grid-00164,20.0,164.0,0.0,rough_land_grid_proxy,farthest
grid-00165,28.0,60.0,0.0,rough_land_grid_proxy,farthest
grid-00166,-32.0,152.0,0.0,rough_land_grid_proxy,farthest
grid-00167,-32.0,-12.0,0.0,rough_land_grid_proxy,farthest
grid-00168,-24.0,-4.0,0.0,rough_land_grid_proxy,farthest
grid-00169,12.0,48.0,0.0,rough_land_grid_proxy,farthest
grid-00170,12.0,20.0,0.0,rough_land_grid_proxy,farthest
grid-00171,-16.0,-48.0,0.0,rough_land_grid_proxy,farthest
grid-00172,12.0,-8.0,0.0,rough_land_grid_proxy,farthest
grid-00173,-12.0,124.0,0.0,rough_land_grid_proxy,farthest
grid-00174,-16.0,144.0,0.0,rough_land_grid_proxy,farthest
grid-00175,28.0,108.0,0.0,rough_land_grid_proxy,farthest
grid-00176,52.0,132.0,0.0,rough_land_grid_proxy,farthest
grid-00177,40.0,32.0,0.0,rough_land_grid_proxy,farthest
grid-00178,-32.0,-48.0,0.0,rough_land_grid_proxy,farthest
grid-00179,32.0,180.0,0.0,rough_land_grid_proxy,farthest
grid-00180,16.0,124.0,0.0,rough_land_grid_proxy,farthest
grid-00181,20.0,-96.0,0.0,rough_land_grid_proxy,farthest
grid-00182,-16.0,40.0,0.0,rough_land_grid_proxy,farthest
grid-00183,20.0,-152.0,0.0,rough_land_grid_proxy,farthest
grid-00184,16.0,172.0,0.0,rough_land_grid_proxy,farthest
grid-00185,16.0,-124.0,0.0,rough_land_grid_proxy,farthest
grid-00186,36.0,-72.0,0.0,rough_land_grid_proxy,farthest
grid-00187,-36.0,116.0,0.0,rough_land_grid_proxy,farthest
grid-00188,44.0,-64.0,0.0,rough_land_grid_proxy,farthest
grid-00189,36.0,96.0,0.0,rough_land_grid_proxy,farthest
grid-00190,-44.0,-56.0,0.0,rough_land_grid_proxy,farthest
grid-00191,40.0,8.0,0.0,rough_land_grid_proxy,farthest
grid-00192,48.0,-168.0,0.0,rough_land_grid_proxy,farthest
grid-00193,40.0,148.0,0.0,rough_land_grid_proxy,farthest
grid-00194,40.0,124.0,0.0,rough_land_grid_proxy,farthest
grid-00195,64.0,-4.0,0.0,rough_land_grid_proxy,farthest
grid-00196,64.0,28.0,0.0,rough_land_grid_proxy,farthest
grid-00197,60.0,164.0,0.0,rough_land_grid_proxy,farthest
grid-00198,44.0,-124.0,0.0,rough_land_grid_proxy,farthest
grid-00199,-24.0,136.0,0.0,rough_land_grid_proxy,farthest
